94767,Sydney Airport,-33.95,151.17,6,IDN60701:IDN60801:IDN60901
94768,Sydney - Observatory Hill,-33.86,151.2,43.37,IDN60801:IDN60901
94769,Fort Denison,-33.86,151.23,5,IDN60701:IDN60801:IDN60901
94772,Guyra,-30.21,151.68,1329,IDN60801
94773,Armidale,-30.52,151.67,987,IDN60801
94774,Newcastle Nobbys,-32.92,151.8,33,IDN60701:IDN60801:IDN60901
94775,Tocal,-32.63,151.59,30,IDN60801
94776,Williamtown,-32.79,151.84,7.5,IDN60701:IDN60801:IDN60901
94780,Little Bay,-33.98,151.25,22,IDN60701:IDN60801:IDN60901
94781,Newcastle University,-32.89,151.71,21,IDN60801:IDN60901
94782,Gosford,-33.44,151.36,7,IDN60801:IDN60901
94783,Mount Seaview,-31.39,152.25,155,IDN60801
94785,Kempsey Airport,-31.07,152.77,13,IDN60801
94786,Port Macquarie Airport,-31.43,152.87,4.2,IDN60701:IDN60801
94789,Dorrigo,-30.34,152.72,746,IDN60801
94790,Smoky Cape,-30.92,153.09,117,IDN60701:IDN60801
94791,Coffs Harbour,-30.92,153.09,117,IDN60801
94792,Woolbrook,-30.97,151.35,925,IDN60801
94793,Brewon,-30.24,147.53,130,IDN60801
94794,Girilambone,-31.08,146.93,178,IDN60801
94795,Millendon (Swan Valley),-31.81,116.02,15.62,IDW60801:IDW60901
94796,Smithville,-30.07,141.01,94,IDN60801
94797,Mulurulu,-33.34,143.4,78,IDN60801
94798,Noona,-31.73,144.93,179,IDN60801
94799,Port Macquarie Airport,-31.43,152.87,4.45,IDN60701:IDN60801
94801,Albany,-35.03,117.88,3,IDW60801
94802,Albany Airport,-34.94,117.82,68.4,IDW60701:IDW60801
94804,Neptune Island,-35.34,136.12,32,IDS60701:IDS60801:IDT60701
94806,Mount Barker,-35.07,138.85,359,IDS60801:IDS60901
94807,Parndana,-35.79,137.25,165,IDS60701:IDS60801
94808,Noarlunga,-35.16,138.51,55,IDS60701:IDS60801:IDS60901
94809,Edithburgh,-35.11,137.74,6,IDS60701:IDS60801
94811,Parawa West,-35.57,138.29,341,IDS60801:IDS60901
94812,Robe,-37.16,139.76,3.3,IDS60701:IDV60701
94813,Cape Jaffa,-36.97,139.72,17,IDS60701:IDS60801
94814,Strathalbyn,-35.28,138.89,58,IDS60801:IDS60901
94816,Keith,-36.1,140.36,29,IDS60801
94817,Coonawarra,-37.29,140.83,57,IDS60801
94820,Naracoorte,-36.98,140.73,49.72,IDS60801
94821,Mount Gambier,-37.75,140.77,63,IDS60801
94822,Cape Willoughby,-35.84,138.13,55,IDS60701:IDS60801
94826,Cape Nelson,-38.43,141.54,45.4,IDS60701:IDV60701:IDV60801
94827,Nhill Aerodrome,-36.31,141.65,138.9,IDV60801
94828,Portland Airport,-38.31,141.47,80.9,IDS60701:IDV60701:IDV60801
94829,Hamilton,-37.65,142.06,241.1,IDV60801
94830,Port Fairy,-38.39,142.23,10,IDV60701:IDV60801
94831,Ouyen,-35.07,142.31,65,IDV60801
94833,Mount William,-37.3,142.6,1150,IDV60801
94834,Ararat,-37.28,142.98,295,IDV60801
94835,Ben Nevis,-37.23,143.2,875,IDV60801
94836,Stawell,-37.07,142.74,235.36,IDV60801
94837,Warrnambool,-38.29,142.45,70.8,IDV60701:IDV60801
94838,Hopetoun Airport,-35.72,142.36,77.3,IDV60801
94839,Charlton,-36.28,143.33,131.7,IDV60801
94840,Mortlake,-38.07,142.77,130,IDV60801
94841,Warracknabeal,-36.26,142.41,113.4,IDV60801
94842,Cape Otway,-38.86,143.51,82,IDT60701:IDV60701:IDV60801
94843,Swan Hill,-35.38,143.54,71,IDN60801:IDV60801
94844,Kerang,-35.72,143.92,82,IDV60801
94846,Aireys Inlet,-38.46,144.09,105,IDV60701:IDV60801
94847,Point Wilson,-38.1,144.54,18,IDV60801
94849,Maryborough,-37.06,143.73,249.3,IDV60801
94850,King Island Airport,-39.88,143.89,35.42,IDT60701:IDT60801:IDV60701
94852,Ballarat,-37.51,143.79,435.2,IDV60801
94853,South Channel Island,-38.31,144.8,9,IDV60701:IDV60801:IDV60901
94854,Avalon,-38.03,144.48,10.6,IDV60701:IDV60801:IDV60901
94855,Bendigo,-36.74,144.33,209.17,IDV60801
94856,Puckapunyal West (Defence),-37.02,144.85,293,IDV60801
94857,Geelong Racecourse,-38.17,144.38,12.9,IDV60701:IDV60801:IDV60901
